Nationality,Age_at_studystart,Study_programme,Study_programme_code,Studystart_date,Studystart_month,Studystart_year,Studyend_month,Studyend_year,University_institute,Status,Exam_year,Exam_grade_point_average,Grading_scale,Exam_type,Priority_number,Quote,Passed_ects_SEM1,Grade_point_average_SEM1,SU_clips_used,Years_since_exam,CHURNED_ALL,CHURNED_IN_SEM1,CHURNED_IN_SEM2,CHURNED_AFTER_SEM1,CHURNED_AFTER_SEM2,CHURNED_SEM2THROUGHSEM3
Danmark,21.3,informationsvidenskab og kulturformidling,HFMA00001T,9/1/2015,9,2013,7,2016,IVA,completed,2011,7.8,7-trinsskala,,7,NULL,30,3.33,NULL,3,0,1,0,0,0,0
Danmark,30.7,musikvidenskab,HKIA00002T,9/1/2014,9,2013,NULL,NULL,Institut for Kunst og Kulturvidenskab,open,2013,0,7-trinsskala,Studentereksamen (2008 og senere),2,1,30,7,NULL,1,0,1,0,0,0,0
Danmark,20.9,dansk,HFMA00001T,9/1/2015,9,2013,7,2015,Institut for Medier. Erkendelse og Formidling,terminated,2013,4.9,13-skala,Studentereksamen (2008 og senere),2,2,0,7.75,NULL,5,1,1,0,1,1,0
Danmark,21,dansk,HMVA00001T,9/1/2015,9,2013,6,2016,Institut for Medier. Erkendelse og Formidling,completed,2011,10.7,7-trinsskala,Studentereksamen,21,2,30,5.79,NULL,3,0,1,0,0,0,1
Danmark,22,tibetologi,HENA00001T,9/1/2013,9,2013,6,2014,Institut for Tvaerkulturelle og regionale studier,terminated,2013,8.9,7-trinsskala,International Baccalaureate (IB),2,1,30,-3,18,20,1,1,1,1,0,0
Danmark,22,historie,HIVA00001T,9/1/2013,9,2013,1,2017,Institut for Kunst og Kulturvidenskab,completed,2012,5.3,7-trinsskala,Udenlandsk/ikke aftale-land,1,1,30,8.5,18,2,0,1,0,0,0,0
Danmark,18.6,historie,HRVA00001T,9/1/2015,9,2013,7,2015,Institut for Tvaerkulturelle og regionale studier,terminated,2015,8.6,7-trinsskala,Studentereksamen (2008 og senere),1,NULL,30,-3,13,10,1,0,0,1,1,1
Tyrkiet,20.9,historie,HHIA00001T,9/1/2016,9,2013,NULL,NULL,Institut for Kunst og Kulturvidenskab,open,2011,8.1,7-trinsskala,Studentereksamen (2008 og senere),2,1,30,11,18,26,0,1,0,0,0,0
Danmark,22,teatervidenskab,HENA00001T,9/1/2016,9,2013,7,2016,Institut for Tvaerkulturelle og regionale studier,completed,2014,6.5,7-trinsskala,Studentereksamen (2008 og senere),1,1,15,9.08,18,2,0,1,0,0,0,0
Danmark,21.5,hebraisk,HIAA00001T,9/1/2013,9,2013,9,2015,Institut for Tvaerkulturelle og regionale studier,terminated,2012,9.6,7-trinsskala,Studentereksamen fra DIAP,1,1,30,2,NULL,1,1,0,0,1,1,0
Danmark,20.9,tysk,HDAA00001T,9/1/2015,9,2013,6,2016,Institut for Engelsk. Germansk og Romansk,completed,1900,6.9,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,9.75,42,4,0,0,0,0,0,0
Danmark,20.8,dansk,HFAA00001T,9/1/2013,9,2013,9,2014,Institut for Tvaerkulturelle og regionale studier,terminated,2013,11.4,7-trinsskala,Studentereksamen (2008 og senere),1,1,7.5,5.43,30,2,1,1,0,1,1,0
Danmark,30.4,retorik,HIVA00001T,9/1/2015,9,2013,6,2016,Institut for Tvaerkulturelle og regionale studier,completed,2012,3.4,7-trinsskala,Studentereksamen (2008 og senere),1,2,30,4.33,30,0,0,0,0,0,0,0
Danmark,42.6,kunsthistorie,HRUA00001T,9/1/2015,9,2013,10,2014,Institut for Kunst og Kulturvidenskab,terminated,2011,7.2,7-trinsskala,Studentereksamen (2008 og senere),1,1,22.5,9.6,NULL,1,1,1,0,1,1,0
Danmark,27.1,paedagogik,HFMA00001T,9/1/2014,9,2013,1,2017,Institut for Tvaerkulturelle og regionale studier,completed,2011,0,7-trinsskala,Studentereksamen (2008 og senere),1,1,0,6.57,6,2,0,1,0,0,0,0
Danmark,20.9,historie,HPOA00002T,9/1/2015,9,2013,7,2016,Institut for Tvaerkulturelle og regionale studier,completed,2012,7.5,7-trinsskala,Studentereksamen,21,1,15,9.22,NULL,7,0,1,0,0,0,0
Danmark,19.1,informationsvidenskab og kulturformidling,HIVA00001T,9/1/2015,9,2013,7,2016,Institut for Tvaerkulturelle og regionale studier,completed,2015,11.4,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,5.11,6,0,0,0,0,0,0,0
Danmark,21.5,engelsk,HRVA00001T,9/1/2015,9,2013,7,2016,Institut for Nordiske Studier og Sprogvidenskab,completed,2012,8.3,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),1,1,30,0,18,5,0,1,0,0,0,0
Danmark,25.3,informationsvidenskab og kulturformidling,HKIA00002T,9/1/2015,9,2013,1,2016,Institut for Engelsk. Germansk og Romansk,terminated,2013,6.3,7-trinsskala,Hoejere handelseks. HHX (2008 og s.),21,1,30,9.08,NULL,0,1,0,0,1,1,0
Danmark,19.5,koreastudier,HFAA00001T,9/1/2014,9,2013,5,2015,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,terminated,2015,8.2,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,7.75,NULL,0,1,0,0,1,1,0
Danmark,21.9,filosofi,HEEA00001T,9/1/2014,9,2013,7,2016,IVA,completed,2013,8.7,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,0,18,2,0,1,0,0,0,0
Bosnien og Herzegovina,21.6,filosofi,HDAA00001T,9/1/2016,9,2013,6,2015,Institut for Tvaerkulturelle og regionale studier,terminated,2014,5.4,,Hoejere forbered.eks. 2-aarig (2007 og s.),1,1,30,2.67,6,2,1,1,0,1,1,0
Danmark,20.8,klassisk graesk,HLAA00001T,9/1/2014,9,2013,8,2016,Institut for Tvaerkulturelle og regionale studier,terminated,2012,3.9,7-trinsskala,Studentereksamen (2008 og senere),1,2,30,9.67,18,0,1,0,0,1,1,0
Tyskland,23.4,spansk sprog og kultur,HFMA00001T,9/1/2016,9,2013,2,2014,IVA,terminated,2013,9.8,7-trinsskala,Studentereksamen (2008 og senere),21,1,0,0,NULL,2,1,1,1,1,0,0
Danmark,21.4,informationsvidenskab og kulturformidling,HEEA00001T,9/1/2016,9,2013,9,2015,Institut for Tvaerkulturelle og regionale studier,terminated,2013,5.3,7-trinsskala,Studentereksamen (2008 og senere),2,1,20,8.15,18,0,1,0,0,1,1,1
Danmark,20,historie,HDAA00001T,9/1/2015,9,2013,6,2016,Institut for Engelsk. Germansk og Romansk,completed,2013,9,7-trinsskala,Studentereksamen (2008 og senere),1,1,0,9.73,18,4,0,0,0,0,0,1
Danmark,20.4,dansk,HFMA00001T,9/1/2013,9,2013,NULL,NULL,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,open,2012,10.2,7-trinsskala,Hoejere handelseks. HHX (2008 og s.),1,1,25,10,6,3,0,1,0,0,0,0
Danmark,24.1,informationsvidenskab og kulturformidling,HRVA00001T,9/1/2013,9,2013,9,2016,Institut for Tvaerkulturelle og regionale studier,completed,2014,11.1,7-trinsskala,Studentereksamen (2008 og senere),4,1,30,4.89,18,6,0,1,0,0,0,0
Danmark,21.4,engelsk,HHIA00001T,9/1/2015,9,2013,7,2014,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,terminated,2012,4.1,13-skala,Konventionsland - nord. studentereksamen,1,1,30,7,6,2,1,1,1,1,0,0
Danmark,20.4,fransk,HKUA00001T,9/1/2015,9,2013,6,2016,Institut for Tvaerkulturelle og regionale studier,completed,2015,8.8,7-trinsskala,Studentereksamen (2008 og senere),1,2,30,0,18,1,0,0,0,0,0,0
Danmark,24.1,teatervidenskab,HARA00001T,9/1/2015,9,2013,9,2014,Institut for Tvaerkulturelle og regionale studier,terminated,2015,6.4,7-trinsskala,Studentereksamen (2008 og senere),21,1,30,9.8,18,-1,1,0,0,1,1,0
Danmark,20,filosofi,HDAA00001T,9/1/2013,9,2013,6,2016,Institut for Kunst og Kulturvidenskab,completed,2013,10.1,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),1,NULL,30,10,6,2,0,1,0,0,0,0
Danmark,22.1,spansk sprog og kultur,HFRA00001T,9/1/2014,9,2013,7,2015,Institut for Engelsk. Germansk og Romansk,terminated,2009,8.7,7-trinsskala,Studentereksamen (2008 og senere),1,1,20,8.5,NULL,2,1,1,0,1,1,0
Danmark,20.9,spansk sprog og kultur,HENA00001T,9/1/2015,9,2013,6,2014,Institut for Tvaerkulturelle og regionale studier,completed,2009,10.1,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,0,18,2,0,1,0,0,0,1
Belarus,21.9,italiensk,HRVA00001T,9/1/2014,9,2013,11,2014,Institut for Kunst og Kulturvidenskab,terminated,2012,10.6,7-trinsskala,Studentereksamen (2008 og senere),21,1,30,5.92,NULL,2,1,0,0,1,1,0
Danmark,22.1,informationsvidenskab og kulturformidling,HPaeA00001T,9/1/2013,9,2013,8,2015,IVA,terminated,1900,5.7,7-trinsskala,Studentereksamen (2008 og senere),0,2,22.5,0,30,5,1,1,0,1,1,0
Danmark,22.7,spansk sprog og kultur,HDAA00001T,9/1/2015,9,2013,10,2013,Institut for Kunst og Kulturvidenskab,terminated,2012,9,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,0,0,3,1,1,0,0,0,0
Danmark,24.4,teatervidenskab,HFAA00001T,9/1/2016,9,2013,NULL,NULL,Institut for Engelsk. Germansk og Romansk,open,2011,7.7,7-trinsskala,Studentereksamen (2008 og senere),6,1,30,0,30,5,0,1,0,0,0,0
Danmark,20.3,religionsvidenskab,HDAA00001T,9/1/2016,9,2013,1,2016,Institut for Medier. Erkendelse og Formidling,completed,1999,7.9,7-trinsskala,Studentereksamen (2008 og senere),2,1,30,5.33,18,1,0,0,0,0,0,0
Danmark,21.1,arabisk,HIVA00001T,9/1/2014,9,2013,9,2016,Institut for Tvaerkulturelle og regionale studier,completed,2012,2,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,8.83,NULL,9,0,1,0,0,0,0
Danmark,19.9,dansk,HKMA00001T,9/1/2013,9,2013,6,2016,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,completed,1900,6.3,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),1,1,30,10,NULL,0,0,0,0,0,0,0
Danmark,27.5,japanstudier,HKMA00001T,9/1/2015,9,2013,7,2016,Institut for Kunst og Kulturvidenskab,completed,2011,9.9,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),1,1,30,11.43,23,-1,0,0,0,0,0,0
Danmark,21.5,kinastudier,HHIA00001T,2/1/2013,9,2013,8,2015,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,terminated,2014,6.9,7-trinsskala,Studentereksamen (2008 og senere),2,1,15,7.6,6,4,1,0,0,1,1,1
Danmark,20.3,filosofi,HJAA00003T,9/1/2016,9,2013,6,2016,Institut for Tvaerkulturelle og regionale studier,completed,2014,10.6,7-trinsskala,Studentereksamen (2008 og senere),0,1,15,6.43,NULL,0,0,0,0,0,0,0
Danmark,20.8,engelsk,HIVA00001T,9/1/2014,9,2013,6,2016,Institut for Tvaerkulturelle og regionale studier,completed,2015,9.5,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,0,NULL,0,0,0,0,0,0,0
Tyrkiet,28.7,paedagogik,HFMA00001T,9/1/2015,9,2013,8,2015,Institut for Engelsk. Germansk og Romansk,terminated,2013,9.1,13-skala,Studentereksamen (2008 og senere),1,1,30,9.57,NULL,2,1,1,0,1,1,0
Danmark,21.8,informationsvidenskab og kulturformidling,HASA00001T,2/1/2013,9,2013,NULL,NULL,Institut for Engelsk. Germansk og Romansk,open,2010,10.8,7-trinsskala,Studentereksamen (2008 og senere),1,2,30,0,17,1,0,1,0,0,0,0
Danmark,20.9,kunsthistorie,HKMA00001T,9/1/2016,9,2013,7,2014,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,terminated,2012,11,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,0,NULL,2,1,1,1,1,0,0
Danmark,30.6,historie,HINA00001T,9/1/2013,9,2013,1,2017,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,completed,2007,9.4,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,10,6,2,0,1,0,0,0,0
Danmark,26.7,indianske sprog og kulturer,HPaeA00001T,9/1/2014,9,2013,NULL,NULL,Institut for Tvaerkulturelle og regionale studier,open,2014,10.4,13-skala,Studentereksamen (2008 og senere),1,1,30,6.63,NULL,15,0,1,0,0,0,0
Danmark,37.6,italiensk,HHIA00001T,9/1/2016,9,2013,9,2016,Institut for Kunst og Kulturvidenskab,completed,2014,8.3,,Studentereksamen (2008 og senere),0,1,30,4.13,18,2,0,1,0,0,0,0
Danmark,23.1,historie,HFRA00002T,9/1/2016,9,2013,8,2016,Institut for Nordiske Studier og Sprogvidenskab,completed,2015,0,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),1,1,30,12,6,1,0,1,0,0,0,0
Danmark,19,litteraturvidenskab,HAUA00001T,9/1/2015,9,2013,3,2014,Institut for Kunst og Kulturvidenskab,terminated,2014,9.9,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,0,18,1,1,1,1,1,0,0
Danmark,27,filosofi,HPaeA00001T,9/1/2015,9,2013,6,2016,Institut for Nordiske Studier og Sprogvidenskab,completed,2012,9.6,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),1,1,30,1.33,NULL,0,0,1,0,0,0,0
Danmark,21.2,historie,HRUA00002T,9/1/2015,9,2013,NULL,NULL,IVA,open,2015,9.8,7-trinsskala,Hoejere handelseks. HHX (2008 og s.),1,2,0,7.86,6,1,0,1,0,0,0,0
Danmark,21.3,paedagogik,HIVA00001T,9/1/2013,9,2013,6,2014,Institut for Tvaerkulturelle og regionale studier,terminated,2011,7.6,7-trinsskala,Studentereksamen (2008 og senere),1,2,30,7.25,30,1,1,0,1,1,0,0
Danmark,20,historie,HRVA00001T,9/1/2016,9,2013,7,2016,Institut for Tvaerkulturelle og regionale studier,completed,2012,7.3,7-trinsskala,Studentereksamen (2008 og senere),1,NULL,0,10.64,30,7,0,1,0,0,0,0
Danmark,20,engelsk,HHIA00001T,9/1/2015,9,2013,6,2016,Institut for Engelsk. Germansk og Romansk,completed,2013,7.3,7-trinsskala,Almen gymnasial uddannelse,1,1,30,10.27,6,1,0,0,0,0,0,0
Danmark,19.8,film- og medievidenskab,HHIA00001T,9/1/2016,9,2013,8,2016,Institut for Engelsk. Germansk og Romansk,completed,2012,7.9,7-trinsskala,Studentereksamen (2008 og senere),1,1,22.5,11.33,6,1,0,0,0,0,0,0
Danmark,35.5,informationsvidenskab og kulturformidling,HHEA00005T,9/1/2014,9,2013,1,2016,Institut for Nordiske Studier og Sprogvidenskab,completed,2009,11.7,7-trinsskala,Studentereksamen (2008 og senere),21,1,30,10,18,2,0,1,0,0,0,0
Danmark,19.2,kinastudier,HRTA00001T,9/1/2014,9,2013,1,2014,IVA,terminated,2009,6.4,7-trinsskala,Studentereksamen (2008 og senere),21,1,30,8.31,6,6,1,1,0,0,0,0
Danmark,59.2,litteraturvidenskab,HFMA00001T,9/1/2013,9,2013,NULL,NULL,Institut for Kunst og Kulturvidenskab,open,2012,4.7,7-trinsskala,Studentereksamen (2008 og senere),1,NULL,0,7.8,NULL,1,0,1,0,0,0,0
Danmark,20.8,informationsvidenskab og kulturformidling,HFIA00001T,9/1/2014,9,2013,8,2014,Institut for Nordiske Studier og Sprogvidenskab,terminated,1900,7.7,7-trinsskala,,2,1,7.5,0,6,2,1,1,0,1,0,1
Danmark,22.3,informationsvidenskab og kulturformidling,HFIA00001T,9/1/2014,9,2013,10,2013,Institut for Tvaerkulturelle og regionale studier,terminated,2013,0,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,0,NULL,0,1,0,0,0,0,0
Danmark,22.5,paedagogik,HSPA00001T,9/1/2013,9,2013,2,2014,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,terminated,2011,9.9,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),1,1,30,0,NULL,1,1,0,1,1,0,0
Danmark,19.6,litteraturvidenskab,HFIA00001T,9/1/2013,9,2013,9,2016,Institut for Tvaerkulturelle og regionale studier,terminated,2012,5.1,7-trinsskala,Hoejere handelseks. HHX (2008 og s.),1,1,30,8.29,NULL,0,1,0,0,1,1,0
Danmark,22.2,spansk sprog og kultur,HKUA00001T,9/1/2014,9,2013,8,2014,Institut for Engelsk. Germansk og Romansk,terminated,2010,9.1,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,8.89,18,0,1,0,0,1,0,0
Danmark,22.4,engelsk,HARA00001T,9/1/2015,9,2013,7,2016,Institut for Medier. Erkendelse og Formidling,completed,2007,9.1,7-trinsskala,,1,1,0,4.6,6,2,0,1,0,0,0,0
Danmark,45.8,dansk,HITA00001T,9/1/2014,9,2013,8,2015,Institut for Kunst og Kulturvidenskab,terminated,2012,7.1,7-trinsskala,Studentereksamen (2008 og senere),0,1,15,3,25,0,1,0,0,1,1,0
Sverige,22.1,kinastudier,HHIA00001T,9/1/2014,9,2013,2,2014,Institut for Engelsk. Germansk og Romansk,terminated,2013,6.5,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,8.42,6,1,1,1,1,1,0,0
Danmark,19.4,informationsvidenskab og kulturformidling,HJAA00003T,9/1/2016,9,2013,NULL,NULL,Institut for Medier. Erkendelse og Formidling,open,2014,7.5,7-trinsskala,Udenlandsk/konventionsland,1,1,30,0,NULL,1,0,0,0,0,0,0
Danmark,21.5,dansk,HIVA00001T,9/1/2015,9,2013,5,2014,Institut for Tvaerkulturelle og regionale studier,terminated,2012,0,7-trinsskala,Studentereksamen (2008 og senere),1,1,15,3,6,2,1,0,1,1,0,1
Finland,22,audiologopaedi,HHIA00001T,9/1/2016,9,2013,12,2014,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,terminated,2014,10.6,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),1,1,30,7.83,6,1,1,1,0,1,1,0
Danmark,22.4,lingvistik,HKOA00003T,9/1/2015,9,2013,6,2016,IVA,completed,2012,6.3,7-trinsskala,Studentereksamen (2008 og senere),2,1,30,0,18,2,0,1,0,0,0,0
Danmark,45.2,informationsvidenskab og kulturformidling,HRVA00001T,9/1/2016,9,2013,7,2015,Institut for Engelsk. Germansk og Romansk,terminated,2011,9.8,7-trinsskala,Studentereksamen (2008 og senere),2,1,30,6.33,NULL,2,1,1,0,1,1,0
Danmark,21.8,historie,HLVA00001T,9/1/2014,9,2013,12,2014,Institut for Nordiske Studier og Sprogvidenskab,terminated,2012,10.3,7-trinsskala,Studentereksamen (2008 og senere),2,1,30,9.11,NULL,5,1,1,0,1,1,0
Danmark,23.7,filosofi,HIEA00001T,9/1/2016,9,2013,9,2014,Institut for Nordiske Studier og Sprogvidenskab,terminated,2014,8.9,7-trinsskala,Studentereksamen (2008 og senere),1,NULL,30,7.5,6,0,1,0,0,1,1,0
Danmark,22,teatervidenskab,HAUA00001T,9/1/2013,9,2013,9,2014,Institut for Medier. Erkendelse og Formidling,terminated,2012,8.1,7-trinsskala,Studentereksamen (2008 og senere),1,1,0,7.5,6,2,1,0,0,1,1,1
Danmark,20.9,engelsk,HDAA00001T,9/1/2013,9,2013,9,2016,Institut for Tvaerkulturelle og regionale studier,completed,2012,8.8,7-trinsskala,Hoejere handelseks. HHX (2008 og s.),1,1,30,0,6,1,0,0,0,0,0,0
Danmark,21.4,italiensk,HDAA00001T,9/1/2014,9,2013,NULL,NULL,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,open,2006,10.3,7-trinsskala,International Baccalaureate (IB),0,1,30,10.38,NULL,4,0,1,0,0,0,0
Danmark,23,arabisk,HSPA00001T,9/1/2013,9,2013,8,2015,Institut for Kunst og Kulturvidenskab,terminated,2010,5.6,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,3.5,NULL,1,1,1,0,1,1,0
Danmark,28.3,film- og medievidenskab,HENA00001T,9/1/2013,9,2013,NULL,NULL,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,open,2012,9.9,7-trinsskala,Studentereksamen (2008 og senere),1,1,0,5.33,30,3,0,1,0,0,0,0
Danmark,24.2,musikvidenskab,HJAA00003T,9/1/2015,9,2013,7,2016,IVA,completed,2011,11,7-trinsskala,Studentereksamen (2008 og senere),1,1,22.5,6.5,6,4,0,1,0,0,0,0
Danmark,19.6,fransk sprog og kultur,HKMA00001T,9/1/2014,9,2013,NULL,NULL,Institut for Tvaerkulturelle og regionale studier,open,2008,9.7,7-trinsskala,Studentereksamen (2008 og senere),1,2,30,10.5,NULL,1,0,1,0,0,0,0
Danmark,20,tysk,HPaeA00001T,9/1/2015,9,2013,NULL,NULL,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,open,2012,7.3,7-trinsskala,Studentereksamen,1,1,15,-3,NULL,22,0,1,0,0,0,0
Danmark,22.7,spansk sprog og kultur,HLVA00001T,9/1/2016,9,2013,8,2014,IVA,terminated,2012,3.3,,Hoejere forbered.eks. 2-aarig (2007 og s.),2,1,30,4.4,NULL,1,1,1,0,1,0,0
Danmark,21.8,kunsthistorie,HTRA00001T,9/1/2015,9,2013,1,2017,Institut for Medier. Erkendelse og Formidling,completed,2014,10.5,13-skala,Hoejere forbered.eks. 2-aarig (2007 og s.),3,1,0,8.33,30,6,0,1,0,0,0,0
Danmark,21.3,dansk,HHIA00001T,9/1/2013,9,2013,3,2014,IVA,terminated,2012,9,7-trinsskala,Studentereksamen (2008 og senere),1,NULL,30,8,6,1,1,0,1,1,0,1
Danmark,21.4,informationsvidenskab og kulturformidling,HIVA00001T,9/1/2016,9,2013,7,2016,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,completed,2016,7.1,13-skala,Studentereksamen (2008 og senere),1,NULL,30,11.5,6,1,0,0,0,0,0,0
Danmark,22.6,tysk,HENA00001T,9/1/2015,9,2013,9,2014,Institut for Engelsk. Germansk og Romansk,terminated,2011,10.6,7-trinsskala,Hoejere handelseksamen (HHX),21,1,0,0,18,0,1,0,0,1,1,1
Danmark,21.1,teatervidenskab,HPOA00002T,9/1/2013,9,2013,7,2016,Institut for Engelsk. Germansk og Romansk,completed,2014,8.2,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),1,1,30,12,NULL,1,0,0,0,0,0,0
Danmark,24.3,kunsthistorie,HARA00001T,9/1/2015,9,2013,1,2017,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,completed,2011,8.5,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),2,1,7.5,12,30,0,0,0,0,0,0,0
Danmark,29.9,russisk,HMVA00001T,9/1/2014,9,2013,NULL,NULL,Institut for Tvaerkulturelle og regionale studier,open,2013,9.8,7-trinsskala,Studentereksamen (2008 og senere),2,1,20,9.43,6,3,0,1,0,0,0,0
Danmark,19.7,forhistorisk arkaeologi,HENA00001T,9/1/2013,9,2013,7,2015,IVA,terminated,2012,9,,Studentereksamen (2008 og senere),1,1,30,2.4,18,3,1,1,0,1,1,0
Danmark,21.6,engelsk,HIVA00001T,9/1/2016,9,2013,NULL,NULL,Institut for Medier. Erkendelse og Formidling,open,2015,7.3,7-trinsskala,Studentereksamen (2008 og senere),21,1,0,9.8,NULL,-1,0,0,0,0,0,0
Danmark,20.4,fransk,HTYA00002T,9/1/2014,9,2013,NULL,NULL,Institut for Kunst og Kulturvidenskab,open,2014,8.1,,Studentereksamen (2008 og senere),1,1,0,0,NULL,14,0,1,0,0,0,1
Danmark,30.1,tibetologi,HFAA00001T,9/1/2015,9,2013,3,2014,Institut for Nordiske Studier og Sprogvidenskab,terminated,2013,8.3,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,10.15,NULL,2,1,1,1,1,0,0
Danmark,21.3,lingvistik,HIAA00001T,9/1/2015,9,2013,6,2016,Institut for Nordiske Studier og Sprogvidenskab,completed,2011,8.1,7-trinsskala,Studentereksamen (2008 og senere),1,2,30,4,21,1,0,1,0,0,0,0
Danmark,25.6,tyrkisk,HTYA00002T,9/1/2014,9,2013,6,2016,Institut for Tvaerkulturelle og regionale studier,completed,1988,8.3,7-trinsskala,,1,1,30,5.4,6,2,0,1,0,0,0,0
Danmark,20.2,dansk,HRTA00001T,9/1/2013,9,2013,8,2014,Institut for Engelsk. Germansk og Romansk,terminated,2013,9.7,7-trinsskala,Studentereksamen (2008 og senere),0,1,30,8,NULL,-1,1,0,0,1,0,0
Danmark,59.7,filosofi,HENA00001T,9/1/2016,9,2013,6,2016,Institut for Medier. Erkendelse og Formidling,completed,2013,9.3,7-trinsskala,Hoejere handelseks. HHX (2008 og s.),1,1,30,3,NULL,5,0,1,0,0,0,0
Danmark,20.2,informationsvidenskab og kulturformidling,HLVA00001T,9/1/2015,9,2013,7,2016,Institut for Medier. Erkendelse og Formidling,completed,2012,7.2,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,8.56,NULL,3,0,1,0,0,0,0
Danmark,21.2,filosofi,HRVA00001T,9/1/2013,9,2013,6,2016,Institut for Engelsk. Germansk og Romansk,completed,2000,6.9,7-trinsskala,Studentereksamen (2008 og senere),1,1,17.5,8.5,6,1,0,0,0,0,0,1
Danmark,24.2,kommunikation og it,HEEA00001T,9/1/2013,9,2013,10,2013,Institut for Engelsk. Germansk og Romansk,terminated,2008,5.2,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),1,1,30,7,30,2,1,1,0,0,0,0
Danmark,27.6,tibetologi,HFAA00001T,9/1/2014,9,2013,5,2016,Saxo-Instituttet - Arkaeologi. Etnologi. Historie og Graesk og Latin,terminated,2008,10.3,7-trinsskala,Studentereksamen (2008 og senere),2,1,20,10.07,6,2,1,0,0,1,1,0
Danmark,21.3,portugisiske og brasilianske studier,HENA00001T,9/1/2013,9,2013,7,2016,Institut for Tvaerkulturelle og regionale studier,completed,2013,6.6,7-trinsskala,Hoejere forbered.eks. 2-aarig (2007 og s.),2,1,20,7,18,1,0,1,0,0,0,0
Danmark,19.7,historie,HDAA00001T,9/1/2016,9,2013,6,2016,Institut for Kunst og Kulturvidenskab,completed,2013,0,7-trinsskala,Studentereksamen (2008 og senere),1,NULL,0,10.29,NULL,2,0,0,0,0,0,1
Danmark,26.4,lingvistik,HIVA00001T,9/1/2013,9,2013,7,2016,IVA,completed,2015,8.6,7-trinsskala,Udenlandsk/konventionsland,1,2,30,6.25,NULL,1,0,1,0,0,0,0
Danmark,57.1,portugisiske og brasilianske studier,HLVA00001T,9/1/2016,9,2013,6,2016,Institut for Medier. Erkendelse og Formidling,completed,2011,9.3,7-trinsskala,Hoejere Tek.eks. HTX (2008 og s.),2,2,30,7,6,41,0,1,0,0,0,0
Danmark,19.3,film- og medievidenskab,HKIA00003T,9/1/2015,9,2013,NULL,NULL,Institut for Kunst og Kulturvidenskab,open,2011,11.2,7-trinsskala,Studentereksamen (2008 og senere),1,1,0,0,NULL,3,0,1,0,0,0,0
Danmark,22,teatervidenskab,HDAA00001T,9/1/2014,9,2013,7,2015,Institut for Tvaerkulturelle og regionale studier,completed,2007,8.5,7-trinsskala,Studentereksamen (2008 og senere),1,1,30,4.33,6,2,0,1,0,0,0,0
